subID,group,age_group,condition,time,speed
s9,CG,OA,B,1,0.9
s9,CG,OA,B,2,0.8
s9,CG,OA,B,3,0.75
s9,CG,OA,B,4,0.66
s9,CG,OA,C,1,1.03
s9,CG,OA,C,2,0.89
s9,CG,OA,C,3,0.74
s9,CG,OA,C,4,0.67
s10,CG,OA,A,1,0.72
s10,CG,OA,A,2,0.63
s10,CG,OA,A,3,0.54
s10,CG,OA,A,4,0.55
s10,CG,OA,B,1,1.12
s10,CG,OA,B,2,0.8
s10,CG,OA,B,3,0.65
s10,CG,OA,B,4,0.66
s10,CG,OA,C,1,0.9
s10,CG,OA,C,2,0.61
s10,CG,OA,C,3,0.6
s10,CG,OA,C,4,0.51
s11,CG,YA,A,1,1.37
s11,CG,YA,A,2,1.06
s11,CG,YA,A,3,0.91
s11,CG,YA,A,4,0.86
s11,CG,YA,B,1,1.73
s11,CG,YA,B,2,1.25
s11,CG,YA,B,3,0.85
s11,CG,YA,B,4,0.9
s11,CG,YA,C,1,1.39
s11,CG,YA,C,2,1.05
s11,CG,YA,C,3,0.8
s11,CG,YA,C,4,0.85
s12,CG,YA,A,1,1.02
s12,CG,YA,A,2,1.2
s12,CG,YA,A,3,0.8
s12,CG,YA,A,4,0.85
s12,CG,YA,B,1,1.13
s12,CG,YA,B,2,1.72
s12,CG,YA,B,3,0.79
s12,CG,YA,B,4,0.8
s12,CG,YA,C,1,1.13
s12,CG,YA,C,2,1.23
s12,CG,YA,C,3,0.85
s12,CG,YA,C,4,0.73
s13,CG,YA,A,1,1.2
s13,CG,YA,A,2,0.88
s13,CG,YA,A,3,0.74
s13,CG,YA,A,4,0.7
s13,CG,YA,B,1,1.35
s13,CG,YA,B,2,1.12
s13,CG,YA,B,3,0.7
s13,CG,YA,B,4,0.72
s13,CG,YA,C,1,1.29
s13,CG,YA,C,2,0.97
s13,CG,YA,C,3,0.74
s13,CG,YA,C,4,0.76
s14,CG,YA,A,1,1.32
s14,CG,YA,A,2,0.93
s14,CG,YA,A,3,0.76
s14,CG,YA,A,4,0.76
s14,CG,YA,B,1,1.65
s14,CG,YA,B,2,1.08
s14,CG,YA,B,3,0.82
s14,CG,YA,B,4,0.92
s14,CG,YA,C,1,1.34
s14,CG,YA,C,2,0.97
s14,CG,YA,C,3,1.17
s14,CG,YA,C,4,0.77
s15,CG,YA,A,1,1.29
s15,CG,YA,A,2,0.93
s15,CG,YA,A,3,0.73
s15,CG,YA,A,4,0.75
s15,CG,YA,B,1,1.69
s15,CG,YA,B,2,1.14
s15,CG,YA,B,3,0.86
s15,CG,YA,B,4,0.78
s15,CG,YA,C,1,1.26
s15,CG,YA,C,2,0.93
s15,CG,YA,C,3,0.76
s15,CG,YA,C,4,0.73
s16,CG,YA,A,1,1.23
s16,CG,YA,A,2,0.9
s16,CG,YA,A,3,0.7
s16,CG,YA,A,4,0.72
s16,CG,YA,B,1,1.67
s16,CG,YA,B,2,1.11
s16,CG,YA,B,3,0.91
s16,CG,YA,B,4,0.8
s16,CG,YA,C,1,1.3
s16,CG,YA,C,2,0.94
s16,CG,YA,C,3,0.75
s16,CG,YA,C,4,0.77
s17,CG,YA,A,1,1.25
s17,CG,YA,A,2,0.92
s17,CG,YA,A,3,0.75
s17,CG,YA,A,4,0.78
s17,CG,YA,B,1,1.64
s17,CG,YA,B,2,1.07
s17,CG,YA,B,3,0.81
s17,CG,YA,B,4,0.76
s17,CG,YA,C,1,1.28
s17,CG,YA,C,2,0.94
s17,CG,YA,C,3,0.75
s17,CG,YA,C,4,0.74
s18,CG,YA,A,1,1.33
s18,CG,YA,A,2,0.97
s18,CG,YA,A,3,0.8
s18,CG,YA,A,4,0.79
s18,CG,YA,B,1,1.7
s18,CG,YA,B,2,1.16
s18,CG,YA,B,3,0.85
s18,CG,YA,B,4,0.8
s18,CG,YA,C,1,1.27
s18,CG,YA,C,2,0.97
s18,CG,YA,C,3,0.78
s18,CG,YA,C,4,0.76
s19,CG,YA,A,1,1.39
s19,CG,YA,A,2,1.02
s19,CG,YA,A,3,1.12
s19,CG,YA,A,4,0.89
s19,CG,YA,B,1,1.67
s19,CG,YA,B,2,1.17
s19,CG,YA,B,3,1.07
s19,CG,YA,B,4,0.82
s19,CG,YA,C,1,1.43
s19,CG,YA,C,2,1.18
s19,CG,YA,C,3,1.12
s19,CG,YA,C,4,1.08
s20,CG,YA,A,1,1.27
s20,CG,YA,A,2,0.88
s20,CG,YA,A,3,0.68
s20,CG,YA,A,4,0.71
s20,CG,YA,B,1,1.61
s20,CG,YA,B,2,1.08
s20,CG,YA,B,3,0.73
s20,CG,YA,B,4,0.72
s20,CG,YA,C,1,1.26
s20,CG,YA,C,2,0.89
s20,CG,YA,C,3,0.72
s20,CG,YA,C,4,0.72
s21,T,OA,A,1,0.65
s21,T,OA,A,2,0.66
s21,T,OA,A,3,0.65
s21,T,OA,A,4,0.58
s21,T,OA,B,1,1.03
s21,T,OA,B,2,0.97
s21,T,OA,B,3,1.05
s21,T,OA,B,4,0.85
s21,T,OA,C,1,0.85
s21,T,OA,C,2,0.76
s21,T,OA,C,3,0.69
s21,T,OA,C,4,0.77
s22,T,OA,A,1,0.81
s22,T,OA,A,2,0.72
s22,T,OA,A,3,0.78
s22,T,OA,A,4,0.72
s22,T,OA,B,1,1.17
s22,T,OA,B,2,0.83
s22,T,OA,B,3,0.63
s22,T,OA,B,4,0.58
s22,T,OA,C,1,0.78
s22,T,OA,C,2,1.01
s22,T,OA,C,3,0.99
s22,T,OA,C,4,0.85
s23,T,OA,A,1,1.03
s23,T,OA,A,2,0.94
s23,T,OA,A,3,0.84
s23,T,OA,A,4,0.82
s23,T,OA,B,1,1.4
s23,T,OA,B,2,1.07
s23,T,OA,B,3,0.88
s23,T,OA,B,4,0.82
s23,T,OA,C,1,1.22
s23,T,OA,C,2,1.02
s23,T,OA,C,3,0.81
s23,T,OA,C,4,0.9
s24,T,OA,A,1,0.83
s24,T,OA,A,2,0.76
s24,T,OA,A,3,0.66
s24,T,OA,A,4,0.68
s24,T,OA,B,1,0.86
s24,T,OA,B,2,1.19
s24,T,OA,B,3,0.68
s24,T,OA,B,4,0.65
s24,T,OA,C,1,1.04
s24,T,OA,C,2,0.85
s24,T,OA,C,3,0.79
s24,T,OA,C,4,0.67
s25,T,OA,A,1,0.83
s25,T,OA,A,2,0.79
s25,T,OA,A,3,0.61
s25,T,OA,A,4,0.58
s25,T,OA,B,1,1.21
s25,T,OA,B,2,0.83
s25,T,OA,B,3,0.63
s25,T,OA,B,4,0.65
s25,T,OA,C,1,0.98
s25,T,OA,C,2,0.74
s25,T,OA,C,3,0.68
s25,T,OA,C,4,0.64
s26,T,OA,A,1,0.8
s26,T,OA,A,2,0.68
s26,T,OA,A,3,0.62
s26,T,OA,A,4,0.59
s26,T,OA,B,1,1.17
s26,T,OA,B,2,1.01
s26,T,OA,B,3,0.86
s26,T,OA,B,4,0.62
s26,T,OA,C,1,1.18
s26,T,OA,C,2,1.06
s26,T,OA,C,3,0.59
s26,T,OA,C,4,0.67
s27,T,OA,A,1,0.62
s27,T,OA,A,2,0.59
s27,T,OA,A,3,0.5
s27,T,OA,A,4,0.44
s27,T,OA,B,1,0.97
s27,T,OA,B,2,0.96
s27,T,OA,B,3,0.58
s27,T,OA,B,4,0.53
s27,T,OA,C,1,0.84
s27,T,OA,C,2,0.7
s27,T,OA,C,3,0.5
s27,T,OA,C,4,0.52
s28,T,OA,A,1,0.72
s28,T,OA,A,2,0.58
s28,T,OA,A,3,0.51
s28,T,OA,A,4,0.46
s28,T,OA,B,1,1.14
s28,T,OA,B,2,0.78
s28,T,OA,B,3,0.51
s28,T,OA,B,4,0.49
s28,T,OA,C,1,0.87
s28,T,OA,C,2,0.75
s28,T,OA,C,3,0.58
s28,T,OA,C,4,0.55
s29,T,OA,A,1,0.88
s29,T,OA,A,2,0.76
s29,T,OA,A,3,0.73
s29,T,OA,A,4,0.69
s29,T,OA,B,1,1.28
s29,T,OA,B,2,1.35
s29,T,OA,B,3,0.93
s29,T,OA,B,4,0.86
s29,T,OA,C,1,1.13
s29,T,OA,C,2,0.89
s29,T,OA,C,3,0.81
s29,T,OA,C,4,0.79
s30,T,OA,A,1,0.86
s30,T,OA,A,2,0.8
s30,T,OA,A,3,0.74
s30,T,OA,A,4,0.53
s30,T,OA,B,1,1.27
s30,T,OA,B,2,0.99
s30,T,OA,B,3,1.03
s30,T,OA,B,4,0.84
s30,T,OA,C,1,1.08
s30,T,OA,C,2,0.92
s30,T,OA,C,3,0.8
s30,T,OA,C,4,0.76
s31,T,YA,A,1,1.52
s31,T,YA,A,2,1.13
s31,T,YA,A,3,0.95
s31,T,YA,A,4,0.97
s31,T,YA,B,1,1.85
s31,T,YA,B,2,1.35
s31,T,YA,B,3,1.03
s31,T,YA,B,4,0.98
s31,T,YA,C,1,1.43
s31,T,YA,C,2,1.09
s31,T,YA,C,3,0.97
s31,T,YA,C,4,0.94
s32,T,YA,A,1,1.27
s32,T,YA,A,2,0.92
s32,T,YA,A,3,0.68
s32,T,YA,A,4,0.75
s32,T,YA,B,1,1.66
s32,T,YA,B,2,1.1
s32,T,YA,B,3,0.86
s32,T,YA,B,4,0.76
s32,T,YA,C,1,1.31
s32,T,YA,C,2,1.21
s32,T,YA,C,3,0.79
s32,T,YA,C,4,0.82
s33,T,YA,A,1,1.42
s33,T,YA,A,2,1.06
s33,T,YA,A,3,0.86
s33,T,YA,A,4,0.88
s33,T,YA,B,1,1.74
s33,T,YA,B,2,1.27
s33,T,YA,B,3,1.3
s33,T,YA,B,4,0.91
s33,T,YA,C,1,1.4
s33,T,YA,C,2,1.14
s33,T,YA,C,3,0.91
s33,T,YA,C,4,0.97
s34,T,YA,A,1,0.91
s34,T,YA,A,2,1.26
s34,T,YA,A,3,0.76
s34,T,YA,A,4,0.73
s34,T,YA,B,1,1.15
s34,T,YA,B,2,1.05
s34,T,YA,B,3,0.8
s34,T,YA,B,4,0.73
s34,T,YA,C,1,0.97
s34,T,YA,C,2,1.21
s34,T,YA,C,3,0.75
s34,T,YA,C,4,0.71
s35,T,YA,A,1,1.29
s35,T,YA,A,2,0.98
s35,T,YA,A,3,0.8
s35,T,YA,A,4,0.77
s35,T,YA,B,1,1.43
s35,T,YA,B,2,1.35
s35,T,YA,B,3,0.81
s35,T,YA,B,4,0.81
s35,T,YA,C,1,1.37
s35,T,YA,C,2,1.01
s35,T,YA,C,3,0.76
s35,T,YA,C,4,0.84
s36,T,YA,A,1,1.5
s36,T,YA,A,2,1.13
s36,T,YA,A,3,0.92
s36,T,YA,A,4,0.96
s36,T,YA,B,1,1.91
s36,T,YA,B,2,1.33
s36,T,YA,B,3,1.03
s36,T,YA,B,4,0.98
s36,T,YA,C,1,1.42
s36,T,YA,C,2,1.12
s36,T,YA,C,3,0.87
s36,T,YA,C,4,0.99
s37,T,YA,A,1,1.44
s37,T,YA,A,2,1.06
s37,T,YA,A,3,0.95
s37,T,YA,A,4,0.9
s37,T,YA,B,1,1.77
s37,T,YA,B,2,1.23
s37,T,YA,B,3,0.91
s37,T,YA,B,4,0.91
s37,T,YA,C,1,1.41
s37,T,YA,C,2,1.06
s37,T,YA,C,3,1.15
s37,T,YA,C,4,0.86
s38,T,YA,A,1,1.31
s38,T,YA,A,2,1.07
s38,T,YA,A,3,0.85
s38,T,YA,A,4,0.8
s38,T,YA,B,1,1.52
s38,T,YA,B,2,1.13
s38,T,YA,B,3,0.89
s38,T,YA,B,4,0.86
s38,T,YA,C,1,1.31
s38,T,YA,C,2,0.97
s38,T,YA,C,3,0.78
s38,T,YA,C,4,0.8
s39,T,YA,A,1,1.08
s39,T,YA,A,2,1.36
s39,T,YA,A,3,0.9
s39,T,YA,A,4,0.93
s39,T,YA,B,1,1.2
s39,T,YA,B,2,1.83
s39,T,YA,B,3,1.04
s39,T,YA,B,4,0.81
s39,T,YA,C,1,1.04
s39,T,YA,C,2,1.53
s39,T,YA,C,3,0.92
s39,T,YA,C,4,0.86
s40,T,YA,A,1,1.32
s40,T,YA,A,2,0.82
s40,T,YA,A,3,0.6
s40,T,YA,A,4,0.93
s40,T,YA,B,1,1.56
s40,T,YA,B,2,1.01
s40,T,YA,B,3,0.68
s40,T,YA,B,4,0.68
s40,T,YA,C,1,1.15
s40,T,YA,C,2,1.05
s40,T,YA,C,3,0.64
s40,T,YA,C,4,0.93
